postal_code,county_abb,county_full,state_abb,state_num,state_lat,state_long,name
99553,13,Aleutians East,AK,NA,63.588753,-154.493062,Alaska
99571,13,Aleutians East,AK,NA,63.588753,-154.493062,Alaska
99583,13,Aleutians East,AK,NA,63.588753,-154.493062,Alaska
99612,13,Aleutians East,AK,NA,63.588753,-154.493062,Alaska
99661,13,Aleutians East,AK,NA,63.588753,-154.493062,Alaska
99546,16,Aleutians West (CA),AK,NA,63.588753,-154.493062,Alaska
99547,16,Aleutians West (CA),AK,NA,63.588753,-154.493062,Alaska
99591,16,Aleutians West (CA),AK,NA,63.588753,-154.493062,Alaska
99638,16,Aleutians West (CA),AK,NA,63.588753,-154.493062,Alaska
99660,16,Aleutians West (CA),AK,NA,63.588753,-154.493062,Alaska
99685,16,Aleutians West (CA),AK,NA,63.588753,-154.493062,Alaska
99692,16,Aleutians West (CA),AK,NA,63.588753,-154.493062,Alaska
99501,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99502,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99503,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99504,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99505,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99506,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99507,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99508,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99509,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99510,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99511,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99513,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99514,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99515,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99516,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99517,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99518,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99519,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99520,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99521,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99522,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99523,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99524,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99529,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99530,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99540,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99567,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99577,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99587,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99599,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99695,20,Anchorage Municipality,AK,NA,63.588753,-154.493062,Alaska
99545,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99551,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99552,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99557,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99559,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99561,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99575,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99578,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99589,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99607,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99609,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99614,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99621,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99622,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99626,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99630,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99634,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99637,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99641,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99651,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99655,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99656,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99668,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99679,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99680,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99681,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99690,50,Bethel Census Area,AK,NA,63.588753,-154.493062,Alaska
99613,60,Bristol Bay,AK,NA,63.588753,-154.493062,Alaska
99633,60,Bristol Bay,AK,NA,63.588753,-154.493062,Alaska
99670,60,Bristol Bay,AK,NA,63.588753,-154.493062,Alaska
99704,68,Denali,AK,NA,63.588753,-154.493062,Alaska
99729,68,Denali,AK,NA,63.588753,-154.493062,Alaska
99743,68,Denali,AK,NA,63.588753,-154.493062,Alaska
99744,68,Denali,AK,NA,63.588753,-154.493062,Alaska
99755,68,Denali,AK,NA,63.588753,-154.493062,Alaska
99555,70,Dillingham (CA),AK,NA,63.588753,-154.493062,Alaska
99569,70,Dillingham (CA),AK,NA,63.588753,-154.493062,Alaska
99576,70,Dillingham (CA),AK,NA,63.588753,-154.493062,Alaska
99580,70,Dillingham (CA),AK,NA,63.588753,-154.493062,Alaska
99628,70,Dillingham (CA),AK,NA,63.588753,-154.493062,Alaska
99636,70,Dillingham (CA),AK,NA,63.588753,-154.493062,Alaska
99678,70,Dillingham (CA),AK,NA,63.588753,-154.493062,Alaska
99701,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99702,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99703,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99705,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99706,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99707,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99708,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99709,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99710,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99711,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99712,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99714,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99716,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99725,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99775,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99790,90,Fairbanks North Star,AK,NA,63.588753,-154.493062,Alaska
99827,100,Haines,AK,NA,63.588753,-154.493062,Alaska
99801,110,Juneau City and Borough,AK,NA,63.588753,-154.493062,Alaska
99802,110,Juneau City and Borough,AK,NA,63.588753,-154.493062,Alaska
99803,110,Juneau City and Borough,AK,NA,63.588753,-154.493062,Alaska
99811,110,Juneau City and Borough,AK,NA,63.588753,-154.493062,Alaska
99812,110,Juneau City and Borough,AK,NA,63.588753,-154.493062,Alaska
99821,110,Juneau City and Borough,AK,NA,63.588753,-154.493062,Alaska
