areasymbol,average_county_soil_ph
WI023,6.3321635684202295
LA091,5.210837912211672
TX013,6.886462367087401
MS015,5.370476548774095
WI089,6.818507119822115
WI133,6.74552447691421
MS065,4.9780877357947455
MS101,4.946960945200879
ND081,7.261812090325125
KS125,6.111371450536975
KY209,6.511920647980445
OR061,5.867788797178625
MN013,6.745398797552989
MN067,7.102957018222676
MS005,5.064619056292455
CO125,7.1199364382097645
MI123,5.904294962385269
MN055,6.585696697402553
IA091,6.86694696164936
PA115,5.4295116571363575
NC111,5.115347947325233
MS025,5.797034938114447
WA023,6.774095711637921
IL011,6.513296860946458
IL067,6.358188197207424
OR003,5.161562391489019
MI059,6.475103800925152
MO057,5.839827389434556
GA231,5.441246142478376
OH151,5.629590804414094
CO001,7.2614653292416245
NC139,4.906520882360573
WI005,5.894324551533996
TX439,7.324455715457715
IL171,6.492048133707989
KS033,7.189667048198542
NE143,6.259943684456241
WV039,5.324695668434586
TN165,5.722311525478219
WV069,5.721732574451386
LA125,5.5971331058020475
MI065,6.455427988371594
MN023,7.330650631683876
TN171,5.005489011137909
TX393,7.9041089187697455
IN153,6.248474246562902
MS115,5.3266999953783065
FL055,5.30500261111528
NE161,7.096489423618463
KY147,5.089403209122362
NC173,4.531584405117526
VT019,4.7904214496357795
GA259,5.308954609542002
TX063,5.797767419205174
OH037,6.4297417606796765
CAChemehuevi,7.889327285257925
KY137,6.069985829009824
OR057,4.568783483843045
TN609,5.413695875731761
CA713Valleys,6.43500512311883
FL095,5.300647992513342
MA603,5.221848866281576
MI099,6.822690037822858
AL091,5.432745806809336
AR093,6.421411017997949
IL047,6.1260116341456525
GA127,5.425815877018202
KY157,5.665649741534213
CA692,7.250109171002057
ND059,6.993472620446406
AR083,5.1872081815605835
TX187,7.12856891551058
IA065,6.517932265306736
HI801,5.923449664618693
PA083,5.060012240556032
MI141,6.3282054118410125
TX031,7.648912089390629
TX279,7.581170814125482
OH029,5.664992455768542
IL075,6.626950449113117
NC163,4.923740123099352
NE115,6.742807739555467
WV079,5.364823684875784
WY009,7.499625845357011
OK149,7.367475861205517
ID713,NA
AL123,5.410995002715915
NV013,7.81292448393617
KS161,6.664365358953339
UT013,7.29088015793568
NC145,5.544587675441238
WI037,5.655520372896024
MN017,5.5786956952410405
WA-130,5.359512420016503
SD067,7.008395131663487
GA299,4.577990384949148
LA013,5.2517499366700635
LA029,6.024666011965393
MT105,7.2448935072754
ND069,7.2348770319203055
IN105,5.644101579578024
WI601,6.578944425564694
CO014,7.207983711315185
MI055,5.746154590252859
IA161,6.557865772062912
OR007,4.602833123136486
MN027,7.309510313989507
MS141,4.948095656551111
AL063,5.360306392874054
AR021,5.669224187900654
MI081,6.280987693418649
MI113,5.740901946067074
NE125,6.842479202613681
WI043,6.372400971375163
MO111,6.228682776345876
TN035,4.7890368273261945
OH163,5.1384982048803085
FL615,7.390186276055006
ND009,7.1879007315264865
IN023,6.3250250947520925
TX377,7.726201121477545
NV015,7.573595617706763
IN015,6.37741193526235
VA075,5.352553950953679
KS059,6.179885690562363
AR013,5.214653756142362
GA199,5.459376217715915
IA035,6.5155551057031555
CO081,7.070575229615103
NE017,6.651319968753102
WY017,NA
AR051,5.3175135524058454
NY081,6.108733089534639
TN037,5.719994184555931
TX023,7.688781951663256
MO097,6.0801585532236055
PA067,5.225054958792329
FL093,5.266267384042019
LA079,5.6759939332643095
MI073,6.358467029583791
TN137,5.0131968241321605
OK033,7.211944141200261
WV091,5.478106122037595
ARCH,8.123716017121161
TN105,5.302290949527573
TN129,5.005679340951836
GA215,5.232504860457824
OK105,6.190484228269616
NC195,4.889751159536101
GA011,5.490154606586586
KS135,7.2103693001180025
OK001,5.421964096588264
VA159,4.828462578495972
GA021,5.242691933916424
NE095,6.234504874219444
NJ029,5.0866400893495385
NY025,5.197355013664865
KS105,7.123300110898818
OK043,7.347913373270317
NY017,5.678422755852827
RI005,5.269974149196068
NC079,4.8625268782204545
ND039,7.226913553915124
KY089,5.162202379109733
CO013,6.015600598589326
IL127,5.803355762028045
OK011,6.9022091968566786
CO051,6.599116739669015
NE027,7.004637371905439
MO205,6.456638122715546
CO061,7.583071397992954
KY646,5.972711610767638
WI047,6.62268903794684
KS113,6.2896300474359395
GA187,5.248245148132018
MI001,5.87584152411811
TX007,7.486388063517453
MT049,6.272732800556175
NJ009,5.6701198601585165
NM047,6.958386408983184
GA175,5.4814538830351065
KY601,6.481568492370758
IL117,6.392923252275028
WY665,5.504049988285771
ME019,4.732355583120874
TX423,5.703064945136427
IA115,6.321509579550915
KS141,7.400723322819008
KY221,5.737385849136929
WI033,6.052898691325919
MN073,7.224411254870638
FL109,5.289432065458137
MN081,7.1977128165341515
TX257,6.936741624724959
SC051,4.9785578518708
KS023,7.253076885203077
WV029,5.721732574451386
ID031,7.787722639079908
IN049,6.4016382578654
TX351,5.146696247511207
NM009,7.521543978333669
NV510,6.249863023119182
SD121,6.943965398589739
TN053,5.377805239936986
MA019,4.577763409622333
AL037,5.121631349768334
TN061,4.888272850337126
CO071,7.301235587937018
NE005,6.654330686890662
WI091,6.1726230887780345
AL005,5.06271457615133
OK069,6.418440098712516
OK153,7.100580086935151
MO047,6.479896515636869
AL013,5.013436502828949
VA059,5.403792966162867
IL165,6.095118173874158
IA045,6.383724217282074
CARL,5.259626140403837
SCBL,7.560700485625694
VT021,5.22345304190488
TN157,5.7333785711348195
NE155,6.296436774882591
MN169,6.579593886126698
AL007,4.89053816945192
INDU,6.383418636620407
ORCA,5.688917386029982
IA173,6.27404162509537
KS181,7.096002191457997
MO107,6.275140655101185
GA181,5.377134293392131
KY213,5.654364366417061
CA095,6.626493621741542
FL616,6.122128259337562
PA015,5.3661979422695
MN617,5.186330091091555
MN115,5.794326685524008
TN145,5.060978361938709
IA013,6.410992931983563
KY145,5.98847718771096
WV103,5.506315779108241
SC019,4.7628445011948175
IL053,6.682371064826001
GA225,5.158799023235163
KY203,5.249904326910084
FL051,5.82013270354946
KY053,5.485691689841191
AR089,5.820610157615727
KY045,5.791324524188011
NE063,6.890487230179846
NY071,5.593333498254294
KY641,5.084030887115468
AR005,5.866136990789158
UT029,6.625868445807529
KY131,5.181051479945682
CO041,6.838458399253743
KY611,5.971438826827058
MN011,7.4518193165736815
TX505,7.521698953966405
MO145,5.632018548411014
MT095,7.416960508529108
AK280,4.654052671734025
GA131,5.311137382768473
KS069,6.945380898336636
MN159,6.302347538552682
MO185,5.817200048817936
WI139,6.790330862158539
