ID,Common_N,State_Native_Symbol,TE_Indicator_Final,Threatened in my State RANK,Common_Name
1,American speedwell,AK,Native,1,1 American speedwell
1,American speedwell,AR,Native,1,1 American speedwell
1,American speedwell,AZ,Native,1,1 American speedwell
1,American speedwell,CA,Native,1,1 American speedwell
1,American speedwell,CO,Native,1,1 American speedwell
1,American speedwell,CT,Native,1,1 American speedwell
1,American speedwell,DE,Native,1,1 American speedwell
1,American speedwell,IA,Native,1,1 American speedwell
1,American speedwell,ID,Native,1,1 American speedwell
1,American speedwell,IL,Endangered,10,1 American speedwell
1,American speedwell,IN,Extirpated,4,1 American speedwell
1,American speedwell,KS,Native,1,1 American speedwell
1,American speedwell,KY,Historical,4,1 American speedwell
1,American speedwell,MA,Native,1,1 American speedwell
1,American speedwell,MD,Native,1,1 American speedwell
1,American speedwell,ME,Native,1,1 American speedwell
1,American speedwell,MI,Native,1,1 American speedwell
1,American speedwell,MN,Native,1,1 American speedwell
1,American speedwell,MO,Native,1,1 American speedwell
1,American speedwell,MT,Native,1,1 American speedwell
1,American speedwell,NC,Native,1,1 American speedwell
1,American speedwell,ND,Native,1,1 American speedwell
1,American speedwell,NE,Native,1,1 American speedwell
1,American speedwell,NH,Native,1,1 American speedwell
1,American speedwell,NJ,Native,1,1 American speedwell
1,American speedwell,NM,Native,1,1 American speedwell
1,American speedwell,NV,Native,1,1 American speedwell
1,American speedwell,NY,Native,1,1 American speedwell
1,American speedwell,OH,Native,1,1 American speedwell
1,American speedwell,OK,Native,1,1 American speedwell
1,American speedwell,OR,Native,1,1 American speedwell
1,American speedwell,PA,Native,1,1 American speedwell
1,American speedwell,RI,Native,1,1 American speedwell
1,American speedwell,SC,Native,1,1 American speedwell
1,American speedwell,SD,Native,1,1 American speedwell
1,American speedwell,TN,Special Concern,7,1 American speedwell
1,American speedwell,TX,Native,1,1 American speedwell
1,American speedwell,UT,Native,1,1 American speedwell
1,American speedwell,VA,Native,1,1 American speedwell
1,American speedwell,VT,Native,1,1 American speedwell
1,American speedwell,WA,Native,1,1 American speedwell
1,American speedwell,WI,Native,1,1 American speedwell
1,American speedwell,WV,Native,1,1 American speedwell
1,American speedwell,WY,Native,1,1 American speedwell
1,American speedwell,DC,Native,1,1 American speedwell
2,New York fern,AL,Native,1,2 New York fern
2,New York fern,AR,Native,1,2 New York fern
2,New York fern,CT,Native,1,2 New York fern
2,New York fern,DC,Native,1,2 New York fern
2,New York fern,DE,Native,1,2 New York fern
2,New York fern,GA,Native,1,2 New York fern
2,New York fern,IL,Endangered,10,2 New York fern
2,New York fern,IN,Native,1,2 New York fern
2,New York fern,KY,Native,1,2 New York fern
2,New York fern,LA,Native,1,2 New York fern
2,New York fern,MA,Native,1,2 New York fern
2,New York fern,MD,Native,1,2 New York fern
2,New York fern,ME,Native,1,2 New York fern
2,New York fern,MI,Native,1,2 New York fern
2,New York fern,MS,Native,1,2 New York fern
2,New York fern,NC,Native,1,2 New York fern
2,New York fern,NH,Native,1,2 New York fern
2,New York fern,NJ,Native,1,2 New York fern
2,New York fern,NY,Exploitably Vulnerable,8,2 New York fern
2,New York fern,OH,Native,1,2 New York fern
2,New York fern,OK,Native,1,2 New York fern
2,New York fern,PA,Native,1,2 New York fern
2,New York fern,RI,Native,1,2 New York fern
2,New York fern,SC,Native,1,2 New York fern
2,New York fern,TN,Native,1,2 New York fern
2,New York fern,VA,Native,1,2 New York fern
2,New York fern,VT,Native,1,2 New York fern
2,New York fern,WV,Native,1,2 New York fern
3,common goldstar,AL,Native,1,3 common goldstar
3,common goldstar,AR,Native,1,3 common goldstar
3,common goldstar,CO,Native,1,3 common goldstar
3,common goldstar,CT,Native,1,3 common goldstar
3,common goldstar,DC,Native,1,3 common goldstar
3,common goldstar,DE,Native,1,3 common goldstar
3,common goldstar,GA,Native,1,3 common goldstar
3,common goldstar,IA,Native,1,3 common goldstar
3,common goldstar,IL,Native,1,3 common goldstar
3,common goldstar,IN,Native,1,3 common goldstar
3,common goldstar,KS,Native,1,3 common goldstar
3,common goldstar,KY,Native,1,3 common goldstar
3,common goldstar,LA,Native,1,3 common goldstar
3,common goldstar,MA,Native,1,3 common goldstar
3,common goldstar,MD,Native,1,3 common goldstar
3,common goldstar,ME,Possibly Extirpated,5,3 common goldstar
3,common goldstar,MI,Native,1,3 common goldstar
3,common goldstar,MN,Native,1,3 common goldstar
3,common goldstar,MO,Native,1,3 common goldstar
3,common goldstar,MS,Native,1,3 common goldstar
3,common goldstar,NC,Native,1,3 common goldstar
3,common goldstar,ND,Native,1,3 common goldstar
3,common goldstar,NE,Native,1,3 common goldstar
3,common goldstar,NH,Threatened,9,3 common goldstar
3,common goldstar,NJ,Native,1,3 common goldstar
3,common goldstar,NM,Native,1,3 common goldstar
3,common goldstar,NY,Native,1,3 common goldstar
3,common goldstar,OH,Native,1,3 common goldstar
3,common goldstar,OK,Native,1,3 common goldstar
3,common goldstar,PA,Native,1,3 common goldstar
3,common goldstar,RI,Native,1,3 common goldstar
3,common goldstar,SC,Native,1,3 common goldstar
3,common goldstar,SD,Native,1,3 common goldstar
3,common goldstar,TN,Native,1,3 common goldstar
3,common goldstar,TX,Native,1,3 common goldstar
3,common goldstar,VA,Native,1,3 common goldstar
3,common goldstar,VT,Native,1,3 common goldstar
3,common goldstar,WI,Native,1,3 common goldstar
3,common goldstar,WV,Native,1,3 common goldstar
4,pipsissewa,AK,Native,1,4 pipsissewa
4,pipsissewa,AZ,Native,1,4 pipsissewa
4,pipsissewa,CA,Native,1,4 pipsissewa
4,pipsissewa,CO,Native,1,4 pipsissewa
4,pipsissewa,CT,Native,1,4 pipsissewa
4,pipsissewa,DC,Native,1,4 pipsissewa
4,pipsissewa,DE,Native,1,4 pipsissewa
4,pipsissewa,GA,Native,1,4 pipsissewa
4,pipsissewa,IA,Threatened,9,4 pipsissewa
4,pipsissewa,ID,Native,1,4 pipsissewa
4,pipsissewa,IL,Endangered,10,4 pipsissewa
4,pipsissewa,IN,Native,1,4 pipsissewa
4,pipsissewa,KY,Native,1,4 pipsissewa
4,pipsissewa,MA,Native,1,4 pipsissewa
4,pipsissewa,MD,Native,1,4 pipsissewa
4,pipsissewa,ME,Native,1,4 pipsissewa
4,pipsissewa,MI,Native,1,4 pipsissewa
4,pipsissewa,MN,Native,1,4 pipsissewa
4,pipsissewa,MT,Native,1,4 pipsissewa
4,pipsissewa,NC,Native,1,4 pipsissewa
4,pipsissewa,NH,Native,1,4 pipsissewa
4,pipsissewa,NJ,Native,1,4 pipsissewa
4,pipsissewa,NM,Native,1,4 pipsissewa
4,pipsissewa,NV,Native,1,4 pipsissewa
4,pipsissewa,NY,Exploitably Vulnerable,8,4 pipsissewa
4,pipsissewa,OH,Threatened,9,4 pipsissewa
4,pipsissewa,OR,Native,1,4 pipsissewa
4,pipsissewa,PA,Native,1,4 pipsissewa
4,pipsissewa,RI,Native,1,4 pipsissewa
4,pipsissewa,SD,Native,1,4 pipsissewa
4,pipsissewa,UT,Native,1,4 pipsissewa
4,pipsissewa,VA,Native,1,4 pipsissewa
4,pipsissewa,VT,Native,1,4 pipsissewa
4,pipsissewa,WA,Native,1,4 pipsissewa
4,pipsissewa,WI,Native,1,4 pipsissewa
4,pipsissewa,WV,Native,1,4 pipsissewa
4,pipsissewa,WY,Native,1,4 pipsissewa
5,Pacific anemone,AK,Native,1,5 Pacific anemone
5,Pacific anemone,AZ,Native,1,5 Pacific anemone
5,Pacific anemone,CA,Native,1,5 Pacific anemone
5,Pacific anemone,CO,Native,1,5 Pacific anemone
5,Pacific anemone,ID,Native,1,5 Pacific anemone
5,Pacific anemone,ME,Threatened,9,5 Pacific anemone
5,Pacific anemone,MI,Native,1,5 Pacific anemone
5,Pacific anemone,MN,Native,1,5 Pacific anemone
5,Pacific anemone,MT,Native,1,5 Pacific anemone
5,Pacific anemone,ND,Native,1,5 Pacific anemone
5,Pacific anemone,NE,Native,1,5 Pacific anemone
5,Pacific anemone,NM,Native,1,5 Pacific anemone
5,Pacific anemone,NV,Native,1,5 Pacific anemone
5,Pacific anemone,NY,Native,1,5 Pacific anemone
5,Pacific anemone,OR,Native,1,5 Pacific anemone
5,Pacific anemone,SD,Native,1,5 Pacific anemone
5,Pacific anemone,UT,Native,1,5 Pacific anemone
5,Pacific anemone,VT,Endangered,10,5 Pacific anemone
5,Pacific anemone,WA,Native,1,5 Pacific anemone
5,Pacific anemone,WI,Native,1,5 Pacific anemone
5,Pacific anemone,WY,Native,1,5 Pacific anemone
6,scarlet Indian paintbrush,AL,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,AR,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,CT,Endangered,10,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,DE,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,FL,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,GA,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,IA,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,IL,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,IN,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,KS,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,KY,Endangered,10,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,LA,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,MA,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,MD,Endangered,10,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,ME,Possibly Extirpated,5,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,MI,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,MN,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,MO,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,MS,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,NC,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,NH,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,NJ,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,NY,Endangered,10,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,OH,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,OK,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,PA,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,RI,Historical,4,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,SC,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,TN,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,VA,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,WI,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,WV,Native,1,6 scarlet Indian paintbrush
6,scarlet Indian paintbrush,DC,Endangered,10,6 scarlet Indian paintbrush
7,Bigelow's sedge,AK,Native,1,7 Bigelow's sedge
7,Bigelow's sedge,CO,Native,1,7 Bigelow's sedge
7,Bigelow's sedge,ID,Native,1,7 Bigelow's sedge
7,Bigelow's sedge,ME,Special Concern,7,7 Bigelow's sedge
7,Bigelow's sedge,MT,Native,1,7 Bigelow's sedge
7,Bigelow's sedge,NH,Native,1,7 Bigelow's sedge
7,Bigelow's sedge,NY,Threatened,9,7 Bigelow's sedge
7,Bigelow's sedge,VT,Native,1,7 Bigelow's sedge
